Feature,Correlation with Genre
danceability,-0.26732601847347937
playlist_subgenre,-0.2251192188565066
mode,0.10622311008107788
loudness,-0.10328618221998496
valence,-0.10303701144388311
duration_ms,0.09693071441393171
acousticness,-0.06702682090416436
speechiness,0.0657176777313464
tempo,0.0488577550929855
liveness,0.04682104281167155
instrumentalness,0.021188041796396107
energy,-0.01526130918695074
track_popularity,-0.01051262548297586
key,-0.009940285803502457
